var_name        , units, standard_name, dims, type
lithk           , m, land_ice_thickness, 2, state
orog            , m, surface_altitude, 2, state
topg            , m, bedrock_altitude, 2, state
hfgeoubed       , W m-2, upward_geothermal_heat_flux_in_land_ice, 2, flux
acabf           , kg m-2 s-1, land_ice_surface_specific_mass_balance_flux, 2, flux
libmassbf       , kg m-2 s-1, land_ice_basal_specific_mass_balance_flux, 2, flux
dlithkdt        , m s-1, tendency_of_land_ice_thickness, 2, state
xvelsurf        , m s-1, land_ice_surface_x_velocity, 2, state
yvelsurf        , m s-1, land_ice_surface_y_velocity, 2, state
zvelsurf        , m s-1, land_ice_surface_upward_velocity, 2, state
xvelbase        , m s-1, land_ice_basal_x_velocity, 2, state
yvelbase        , m s-1, land_ice_basal_y_velocity, 2, state
zvelbase        , m s-1, land_ice_basal_upward_velocity, 2, state
xvelmean        , m s-1, land_ice_vertical_mean_x_velocity, 2, state
yvelmean        , m s-1, land_ice_vertical_mean_x_velocity, 2, state
zvelmean        , m s-1, land_ice_vertical_mean_y_velocity, 2, state
litemptop       , K, temperature_at_top_of_ice_sheet_model , 2, state
litempbotgr     , K, temperature_at_base_of_ice_sheet_model, 2, state
litempbotfl     , K, temperature_at_base_of_ice_sheet_model, 2, state
strbasemag      , Pa, land_ice_basal_drag, 2, state
licalvf         , kg m-2 s-1, land_ice_specific_mass_flux_due_to_calving, 2, flux
lifmassbf       , kg m-2 s-1, land_ice_specific_mass_flux_due_to_calving_and_ice_front_melting, 2, flux
sftgif          , 1, land_ice_area_fraction, 2, state
sftgrf          , 1, grounded_ice_sheet_area_fraction, 2, state
sftflf          , 1, floating_ice_sheet_area_fraction, 2, state
lim             , kg, land_ice_mass, 1, state
limnsw          , kg, land_ice_mass_not_displacing_sea_water, 1, state
iareagr         , m2, grounded_land_ice_area, 1, state
iareafl         , m2, floating_ice_shelf_area, 1, state
tendacabf       , kg s-1, tendency_of_land_ice_mass_due_to_surface_mass_balance, 1, flux
tendlibmassbf   , kg s-1, tendency_of_land_ice_mass_due_to_basal_mass_balance, 1, flux
tendlibmassbffl , kg s-1, tendency_of_land_ice_mass_due_to_basal_mass_balance, 1, flux
tendlicalvf     , kg s-1, tendency_of_land_ice_mass_due_to_calving, 1, flux
tendlifmassbf   , kg s-1, tendency_of_land_ice_mass_due_to_calving_and_ice_front_melting, 1, flux
