,CLIMATE,RU,THETA,A,B,ALPHA,BETA,TCT,VCM,PPQ,SIAE,OK
HH5-MIROC26-YM,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,1,0.6,1.25,0
HH5-MIROC85-YM,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,1,0.6,1.25,0
HH5-MIROC85-YM-2X,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM_2X.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,1,0.6,1.25,0
HH5-MIROC85-YM-2X-VCM0.8,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM_2X.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,0.8,0.6,1.25,0
HH5-MIROC85-YM-2X-VCM0.5,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM_2X.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,0.5,0.6,1.25,0
HH5-MIROC26-DM,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,1,0.6,1.25,0
MAR-MIROC26,MARv3.9_ERAI_climate_1980-2017.nc,MARv3.9_ERAI_climate_1980-2017.nc,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,1,0.6,1.25,0
MAR-MIROC85,MARv3.9_ERAI_climate_1980-2017.nc,MARv3.9_ERAI_climate_1980-2017.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,1,0.6,1.25,0
MAR-MIROC85-30,MARv3.9_ERAI_climate_1980-2017.nc,MARv3.9_ERAI_30_climate_1980-2017.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,1,0.6,1.25,0
MAR-NORESM85,MARv3.9_ERAI_climate_1980-2017.nc,MARv3.9_ERAI_climate_1980-2017.nc,MAR3.9_NorESM1-M_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,1,0.6,1.25,0
MAR-VCM0.8,MARv3.9_ERAI_climate_1980-2017.nc,MARv3.9_ERAI_climate_1980-2017.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,0.8,0.6,1.25,0
MAR-VCM0.5,MARv3.9_ERAI_climate_1980-2017.nc,MARv3.9_ERAI_climate_1980-2017.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,0.5,0.6,1.25,0
MAR-VCM0.25,MARv3.9_ERAI_climate_1980-2017.nc,MARv3.9_ERAI_climate_1980-2017.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,0.25,0.6,1.25,0
MAR-MIROC85,MARv3.9_ERAI_climate_1980-2017.nc,MARv3.9_ERAI_climate_1980-2017.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v2.nc,3e-4,0.15,0.39,1.18,-2,1,0.6,1.25,0
