id,pr_paleo_file,tas_paleo_file
0,pr_Badgeley_etal_2020_id_main-mean.nc,tas_Badgeley_etal_2020_id_S4-mean.nc
1,pr_Badgeley_etal_2020_id_high-5.nc,tas_Badgeley_etal_2020_id_S2-95.nc
2,pr_Badgeley_etal_2020_id_high-95.nc,tas_Badgeley_etal_2020_id_main-95.nc
3,pr_Badgeley_etal_2020_id_low-95.nc,tas_Badgeley_etal_2020_id_S4-5.nc
4,pr_Badgeley_etal_2020_id_main-95.nc,tas_Badgeley_etal_2020_id_main-5.nc
5,pr_Badgeley_etal_2020_id_low-95.nc,tas_Badgeley_etal_2020_id_S3-5.nc
6,pr_Badgeley_etal_2020_id_high-95.nc,tas_Badgeley_etal_2020_id_S1-95.nc
7,pr_Badgeley_etal_2020_id_main-mean.nc,tas_Badgeley_etal_2020_id_S2-5.nc
8,pr_Badgeley_etal_2020_id_low-5.nc,tas_Badgeley_etal_2020_id_S1-5.nc
9,pr_Badgeley_etal_2020_id_low-mean.nc,tas_Badgeley_etal_2020_id_S3-95.nc
