,CTYPE,CLIMATE,RU,THETA,A,B,ALPHA,BETA,VCM,PPQ,SIAE
CALIB-G1000M,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,vct_calib_g1000m_g450m.nc,0.6,1.25
CALIB-G450M,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,vct_calib_g450m_g450m.nc,0.6,1.25
VCM_1.00,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,1.0,0.6,1.25
VCM_0.95,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.95,0.6,1.25
VCM_0.90,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.9,0.6,1.25
VCM_0.85,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.85,0.6,1.25
VCM_0.80,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.8,0.6,1.25
VCM_0.75,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.75,0.6,1.25
VCM_0.70,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.7,0.6,1.25
VCM_0.65,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.65,0.6,1.25
VCM_0.60,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.6,0.6,1.25
VCM_0.55,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.55,0.6,1.25
VCM_0.50,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.5,0.6,1.25
VCM_0.45,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.45,0.6,1.25
