,CTYPE,CLIMATE,RU,THETA,A,B,ALPHA,BETA,VCM,TCT,S,PPQ,SIAE
HH5-CNRM-CM6-MM-350M-34,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,vct_calib_g1000m_g450m.nc,350,34.5,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-100M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,100,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-200M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,200,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-300M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,300,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-400M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,400,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-500M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,500,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.70-600M-34S,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,600,34,0.6,1.25
MAR-CNRM-CM6-MM-VCM0.70-100M-34S,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,100,34,0.6,1.25
MAR-CNRM-CM6-MM-VCM0.70-200M-34S,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,200,34,0.6,1.25
MAR-CNRM-CM6-MM-VCM0.70-200M-34S-0.5PPQ,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,200,34,0.5,1.25
MAR-CNRM-CM6-MM-VCM0.70-200M-34S-0.55PPQ-1.5E,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,200,34,0.55,1.5
MAR-CNRM-CM6-MM-VCM0.70-300M-34S-0.55PPQ-1.5E,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,300,34,0.55,1.5
MAR-CNRM-CM6-MM-VCM0.70-200M-34S-2E,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.70,200,34,0.6,2.0
MAR-CNRM-CM6-MM-VCM0.65-200M-34S-0.55PPQ-1.5E,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.65,200,34,0.55,1.5
MAR-CNRM-CM6-MM-VCM0.65-300M-34S-0.55PPQ-1.5E,given,MARv3.9_ERAI_climate_1980-2018.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.65,300,34,0.55,1.5
