,CTYPE,FTYPE,HTYPE,CLIMATE,RU,THETA,SCAV,A,B,ALPHA,BETA,VCM,TCT,GAMMA_T,S,PPQ,SIAE
INIT1,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,100,1.00e-4,,0.6,1.25
INIT2,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,200,1.00e-4,,0.6,1.25
INIT3,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.00e-4,,0.6,1.25
INIT4,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,400,1.00e-4,,0.6,1.25
INIT2-1,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,200,2.00e-4,,0.6,1.25
INIT2-2,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,250,2.00e-4,,0.6,1.25
INIT-0.6-100,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,100,1.80e-4,,0.6,1.25
INIT-0.6-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,200,1.80e-4,,0.6,1.25
INIT-0.8-100,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.80,100,1.80e-4,,0.6,1.25
INIT-0.8-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.80,200,1.80e-4,,0.6,1.25
INIT-0.8-200-1.6,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.80,200,1.60e-4,,0.6,1.25
INIT-0.6-100-1.6,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,100,1.60e-4,,0.6,1.25
INIT-0.6-100-1.75,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,100,1.75e-4,,0.6,1.25
INIT-0.4-100-1.5,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,100,1.50e-4,,0.6,1.25
INIT-0.4-200-1.5,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,200,1.50e-4,,0.6,1.25
INIT-0.4-300-1.5,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.50e-4,,0.6,1.25
INIT-0.6-100-1.5,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,100,1.50e-4,,0.6,1.25
INIT-0.8-100-1.5,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,100,1.50e-4,,0.8,1.25
