,CTYPE,FTYPE,HTYPE,CLIMATE,RU,THETA,SCAV,A,B,ALPHA,BETA,VCM,TCT,GAMMA_T,S,PPQ,SIAE
CALV-0.5-1.00-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.50,constant_200m.nc,1.00e-4,,0.6,1.25
CALV-0.6-1.00-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,constant_200m.nc,1.00e-4,,0.6,1.25
CALV-0.7-1.00-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.70,constant_200m.nc,1.00e-4,,0.6,1.25
CALV-0.8-1.00-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.80,constant_200m.nc,1.00e-4,,0.6,1.25
CALV-0.5-1.25-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.50,constant_200m.nc,1.25e-4,,0.6,1.25
CALV-0.6-1.25-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,constant_200m.nc,1.25e-4,,0.6,1.25
CALV-0.7-1.25-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.70,constant_200m.nc,1.25e-4,,0.6,1.25
CALV-0.8-1.25-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.80,constant_200m.nc,1.25e-4,,0.6,1.25
CALV-0.5-1.50-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.50,constant_200m.nc,1.50e-4,,0.6,1.25
CALV-0.6-1.50-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,constant_200m.nc,1.50e-4,,0.6,1.25
CALV-0.7-1.50-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.70,constant_200m.nc,1.50e-4,,0.6,1.25
CALV-0.8-1.50-200,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.80,constant_200m.nc,1.50e-4,,0.6,1.25
CALV-0.5-1.00-250,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.50,constant_250m.nc,1.00e-4,,0.6,1.25
CALV-0.6-1.00-250,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,constant_250m.nc,1.00e-4,,0.6,1.25
CALV-0.7-1.00-250,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.70,constant_250m.nc,1.00e-4,,0.6,1.25
CALV-0.8-1.00-250,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.80,constant_250m.nc,1.00e-4,,0.6,1.25
CALV-0.5-1.25-250,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.50,constant_250m.nc,1.25e-4,,0.6,1.25
CALV-0.6-1.25-250,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,constant_250m.nc,1.25e-4,,0.6,1.25
CALV-0.7-1.25-250,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.70,constant_250m.nc,1.25e-4,,0.6,1.25
