EXP,CLIMATE,PPQ,SIAE,FRF
ctrl_proj,MARv3.9_MIROC5-rcp85_ctrl_proj_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_ZERO_UAF_PISM2.nc
exp05,MARv3.9_MIROC5-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_MIROC5-rcp85-Rmed_UAF_PISM2.nc
exp06,MARv3.9_NorESM1-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_NorESM1-rcp85-Rmed_UAF_PISM2.nc
exp07,MARv3.9_MIROC5-rcp26_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_MIROC5-rcp26-Rmed_UAF_PISM2.nc
exp08,MARv3.9_HadGEM2-ES-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_HadGEM2-ES-rcp85-Rmed_UAF_PISM2.nc
exp09,MARv3.9_MIROC5-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_MIROC5-rcp85-Rhigh_UAF_PISM2.nc
exp10,MARv3.9_MIROC5-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_MIROC5-rcp85-Rlow_UAF_PISM2.nc
expa01,MARv3.9_IPSL-CM5-MR-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_IPSL-CM5-MR-rcp85-Rmed_UAF_PISM2.nc
expa02,MARv3.9_CSIRO-Mk3.6-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_CSIRO-Mk3.6-rcp85-Rmed_UAF_PISM2.nc
expa03,MARv3.9_ACCESS1.3-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_ACCESS1.3-rcp85-Rmed_UAF_PISM2.nc
expb01,MARv3.9_CNRM-CM6-ssp585_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_CNRM-CM6-ssp585-Rmed_UAF_PISM2.nc
expb02,MARv3.9_CNRM-CM6-ssp126_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_CNRM-CM6-ssp126-Rmed_UAF_PISM2.nc
expb03,MARv3.9_UKESM1-CM6-ssp585_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_MIROC5-rcp85-Rmed_UAF_PISM2.nc
expb05,MARv3.9_UKESM1-CM6-ssp585_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_MIROC5-rcp85-Rmed_UAF_PISM2.nc
expc01,MARv3.9_MIROC5-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_ZERO_UAF_PISM2.nc
expc02,MARv3.9_MIROC5-rcp85_ctrl_proj_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_MIROC5-rcp85-Rmed_UAF_PISM2.nc
expc03,MARv3.9_CSIRO-Mk3.6-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_ZERO_UAF_PISM2.nc
expc04,MARv3.9_MIROC5-rcp85_ctrl_proj_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_CSIRO-Mk3.6-rcp85-Rmed_UAF_PISM2.nc
expc05,MARv3.9_MIROC5-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_ZERO_UAF_PISM2.nc
expc06,MARv3.9_MIROC5-rcp85_ctrl_proj_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_MIROC5-rcp85-Rmed_UAF_PISM2.nc
expc07,MARv3.9_NorESM1-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_ZERO_UAF_PISM2.nc
expc08,MARv3.9_MIROC5-rcp85_ctrl_proj_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_MIROC5-rcp26-Rmed_UAF_PISM2.nc
expc09,MARv3.9_MIROC5-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_ZERO_UAF_PISM2.nc
expc10,MARv3.9_MIROC5-rcp85_ctrl_proj_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_MIROC5-rcp85-Rlow_UAF_PISM2.nc
expd01,MARv3.9_NorESM1-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_NorESM1-rcp85-Rhigh_UAF_PISM2.nc
expd02,MARv3.9_NorESM1-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_NorESM1-rcp85-Rlow_UAF_PISM2.nc
expd03,MARv3.9_HadGEM2-ES-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_HadGEM2-ES-rcp85-Rhigh_UAF_PISM2.nc
expd04,MARv3.9_HadGEM2-ES-rcp85_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_HadGEM2-ES-rcp85-Rlow_UAF_PISM2.nc
expd05,MARv3.9_MIROC5-rcp26_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_MIROC5-rcp26-Rhigh_UAF_PISM2.nc
expd06,MARv3.9_MIROC5-rcp26_climate_2008-2100_v1.nc,0.6,1.25,retreatmasks_MIROC5-rcp26-Rlow_UAF_PISM2.nc
