,CTYPE,CLIMATE,RU,THETA,A,B,ALPHA,BETA,VCM,TCT,S,PPQ,SIAE
HH5-CNRM-CM6-MM-350M-34,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,vct_calib_g1000m_g450m.nc,350,34.5,0.6,1.25
HH5-G1000M-MM-VCM0.6,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.6,50,34.5,0.6,1.25
HH5-G1000M-MM-VCM0.8,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.8,50,34.5,0.6,1.25
HH5-G1000M-MM-VCM1.0,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,1.0,50,34.5,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.5,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.5,275,34.5,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.55-50M,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.55,50,34.5,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.55-275M,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.55,275,34.5,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.6-50M,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.6,50,34.5,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.6-275M,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.6,275,34.5,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.65-50M,given,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,3e-4,0.15,0.39,1.18,0.65,50,34.5,0.6,1.25
