,CTYPE,FTYPE,HTYPE,CLIMATE,RU,THETA,SCAV,A,B,ALPHA,BETA,VCM,TCT,GAMMA_T,S,PPQ,SIAE
HH5-CNRM-CM6-MM-VCM0.60-300M-34S-0,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,illulisat_fjord_theta_ocean_0_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.00e-4,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.60-300M-34S-1,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,illulisat_fjord_theta_ocean_1_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.00e-4,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.60-300M-34S-2,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,illulisat_fjord_theta_ocean_2_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.00e-4,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.60-300M-34S-3,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,illulisat_fjord_theta_ocean_3_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.00e-4,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.60-300M-34S-4,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,illulisat_fjord_theta_ocean_4_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.00e-4,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.60-300M-34S-5,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,illulisat_fjord_theta_ocean_5_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.00e-4,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.60-300M-34S-6,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,illulisat_fjord_theta_ocean_6_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.00e-4,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.60-300M-34S-7,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,illulisat_fjord_theta_ocean_7_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.00e-4,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.60-300M-34S-8,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,illulisat_fjord_theta_ocean_8_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.00e-4,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.60-300M-34S-9,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,illulisat_fjord_theta_ocean_9_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.00e-4,34,0.6,1.25
HH5-CNRM-CM6-MM-VCM0.60-200M-34S-0,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_MM.nc,illulisat_fjord_theta_ocean_0_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,200,1.00e-4,34,0.6,1.25
