,CLIMATE,RU,THETA,A,B,ALPHA,BETA,VCM,PPQ,SIAE
HH5-VCMCALIB,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,vct_g450m.nc,0.6,1.25
HH5-VCM1.0,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,1.0,0.6,1.25
HH5-VCM0.90,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,0.9,0.6,1.25
HH5-VCM0.80,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,0.8,0.6,1.25
HH5-VCM0.70,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,0.7,0.6,1.25
HH5-VCM0.60,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,0.6,0.6,1.25
HH5-VCM0.50,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,0.5,0.6,1.25
HH5-VCM0.45,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,0.45,0.6,1.25
HH5-VCM0.40,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,0.4,0.6,1.25
HH5-VCM0.35,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,0.35,0.6,1.25
HH5-VCM0.30,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,0.30,0.6,1.25
HH5-VCM0.25,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,0.25,0.6,1.25
HH5-VCM0.20,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_YM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_YM.nc,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1990-2100_v3.nc,3e-4,0.15,0.39,1.18,0.20,0.6,1.25
