id,m_min,m_max,h_min,h_ela,h_max,vct,hydro,frontal_melt_file
ELA1500-1-VC0.5,-1,4.0,0,1500,2000,0.5,diffuse,
ELA1500-2-VC0.5,-1,3.5,0,1500,2000,0.5,diffuse,
ELA1500-3-VC0.5,-1.5,3.5,0,1500,2000,0.5,diffuse,
ELA1500-4-VC0.5,-1.5,3.0,0,1500,2000,0.5,diffuse,
ELA1500-5-VC0.5,-2.0,3.0,0,1500,2000,0.5,diffuse,
ELA1500-6-VC0.5,-2.5,2.0,0,1500,2000,0.5,diffuse,
ELA1500-7-VC0.5,-3.0,2.0,0,1500,2000,0.5,diffuse,
ELA1500-8-VC0.5,-3.5,2.0,0,1500,2000,0.5,diffuse,
ELA1750-1-VC0.5,-3.5,2.0,0,1750,2000,0.5,diffuse,
ELA1750-2-VC0.5,-1.0,2.0,0,1750,2000,0.5,diffuse,
STEADY,-1.0,2.0,0,1750,2000,0.5,steady,jak_runoff_1000m.nc
ROUTING,-1.0,2.0,0,1750,2000,0.5,routing,jak_runoff_1000m.nc
