,CTYPE,FTYPE,HTYPE,CLIMATE,RU,THETA,SCAV,A,B,ALPHA,BETA,VCM,TCT,GAMMA_T,S,PPQ,SIAE
CALV-CTRL,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.50e-4,,0.6,1.25
CALV-VCM-0.4-1.50,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.40,300,1.50e-4,,0.6,1.25
CALV-VCM-0.4-1.25,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.40,300,1.25e-4,,0.6,1.25
CALV-VCM-0.4-1.00,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.40,300,1.00e-4,,0.6,1.25
CALV-VCM-0.5-1.50,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.50,300,1.50e-4,,0.6,1.25
CALV-VCM-0.5-1.25,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.50,300,1.25e-4,,0.6,1.25
CALV-VCM-0.5-1.00,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.50,300,1.00e-4,,0.6,1.25
CALV-VCM-0.6-1.50,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.50e-4,,0.6,1.25
CALV-VCM-0.6-1.25,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.25e-4,,0.6,1.25
CALV-VCM-0.6-1.00,given,routing,discharge_routing,DMI-HIRHAM5_GL2_ERAI_1980_2016_EPSG3413_4500M_DM.nc,DMI-HIRHAM5_GL2_ERAI_1980_2016_MRROS_EPSG3413_4500M_DM.nc,jib_ocean_forcing_ctrl_1980_2020.nc,seasonal_calving.nc,3e-4,0.15,0.39,1.18,0.60,300,1.00e-4,,0.6,1.25
